Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2023-12-11 20:51:46,"Evening Workout",45s,"Deadlift (Smith Machine)",1,35.0,6.0,0,0.0,"","",
2023-12-11 20:51:46,"Evening Workout",45s,"Deadlift (Smith Machine)",2,35.0,5.0,0,0.0,,,
2023-12-23 14:12:38,"Pull Day",55m,"Romanian Deadlift (Barbell)",1,90.0,10.0,0,0.0,"","",
2023-12-23 14:12:38,"Pull Day",55m,"Romanian Deadlift (Barbell)",2,90.0,10.0,0,0.0,,,
2023-12-23 14:12:38,"Pull Day",55m,"Romanian Deadlift (Barbell)",3,90.0,6.0,0,0.0,,,
2023-12-23 14:12:38,"Pull Day",55m,"Romanian Deadlift (Barbell)",4,90.0,8.0,0,0.0,,,
2023-12-23 14:12:38,"Pull Day",55m,"Romanian Deadlift (Barbell)",5,90.0,8.0,0,0.0,,,
2023-12-23 14:12:38,"Pull Day",55m,"Bicep Curl (Cable)",1,50.0,10.0,0,0.0,"",,
2023-12-23 14:12:38,"Pull Day",55m,"Bicep Curl (Cable)",2,50.0,10.0,0,0.0,,,
2023-12-23 14:12:38,"Pull Day",55m,"Bicep Curl (Cable)",3,50.0,10.0,0,0.0,,,
2023-12-23 14:12:38,"Pull Day",55m,"Bicep Curl (Cable)",4,50.0,9.0,0,0.0,,,
2023-12-23 14:12:38,"Pull Day",55m,"Bicep Curl (Cable)",5,50.0,10.0,0,0.0,,,
2023-12-23 14:12:38,"Pull Day",55m,"Face Pull (Cable)",1,50.0,10.0,0,0.0,"",,
2023-12-23 14:12:38,"Pull Day",55m,"Face Pull (Cable)",2,50.0,10.0,0,0.0,,,
2023-12-23 14:12:38,"Pull Day",55m,"Face Pull (Cable)",3,50.0,10.0,0,0.0,,,
2023-12-23 14:12:38,"Pull Day",55m,"Face Pull (Cable)",4,50.0,10.0,0,0.0,,,
2023-12-23 14:12:38,"Pull Day",55m,"Face Pull (Cable)",5,50.0,10.0,0,0.0,,,
2023-12-23 14:12:38,"Pull Day",55m,"Seated Row (Cable)",1,60.0,10.0,0,0.0,"",,
2023-12-23 14:12:38,"Pull Day",55m,"Seated Row (Cable)",2,60.0,10.0,0,0.0,,,
2023-12-23 14:12:38,"Pull Day",55m,"Seated Row (Cable)",3,60.0,10.0,0,0.0,,,
2023-12-23 14:12:38,"Pull Day",55m,"Lat Pulldown (Cable)",1,65.0,12.0,0,0.0,"",,
2023-12-23 14:12:38,"Pull Day",55m,"Lat Pulldown (Cable)",2,65.0,12.0,0,0.0,,,
2023-12-23 14:12:38,"Pull Day",55m,"Lat Pulldown (Cable)",3,65.0,12.0,0,0.0,,,
2023-12-23 14:12:38,"Pull Day",55m,"Lat Pulldown (Cable)",4,65.0,12.0,0,0.0,,,
2023-12-25 10:14:26,"Push Day",1h 11m,"Bench Press (Smith Machine)",1,55.0,10.0,0,0.0,"","",
2023-12-25 10:14:26,"Push Day",1h 11m,"Bench Press (Smith Machine)",2,55.0,10.0,0,0.0,,,
2023-12-25 10:14:26,"Push Day",1h 11m,"Bench Press (Smith Machine)",3,55.0,5.0,0,0.0,,,
2023-12-25 10:14:26,"Push Day",1h 11m,"Bench Press (Smith Machine)",4,55.0,10.0,0,0.0,,,
2023-12-25 10:14:26,"Push Day",1h 11m,"Bench Press (Smith Machine)",5,55.0,7.0,0,0.0,,,
2023-12-25 10:14:26,"Push Day",1h 11m,"Bench Press (Smith Machine)",6,55.0,6.0,0,0.0,,,
2023-12-25 10:14:26,"Push Day",1h 11m,"Triceps Extension",1,50.0,11.0,0,0.0,"",,
2023-12-25 10:14:26,"Push Day",1h 11m,"Triceps Extension",2,50.0,12.0,0,0.0,,,
2023-12-25 10:14:26,"Push Day",1h 11m,"Triceps Extension",3,50.0,11.0,0,0.0,,,
2023-12-25 10:14:26,"Push Day",1h 11m,"Shoulder Press (Machine)",1,21.0,10.0,0,0.0,"",,
2023-12-25 10:14:26,"Push Day",1h 11m,"Shoulder Press (Machine)",2,21.0,7.0,0,0.0,,,
2023-12-25 10:14:26,"Push Day",1h 11m,"Shoulder Press (Machine)",3,50.0,9.0,0,0.0,,,
2023-12-25 10:14:26,"Push Day",1h 11m,"Seated Calf Raise (Machine)",1,30.0,10.0,0,0.0,"",,
2023-12-25 10:14:26,"Push Day",1h 11m,"Seated Calf Raise (Machine)",2,30.0,10.0,0,0.0,,,
2023-12-25 10:14:26,"Push Day",1h 11m,"Seated Calf Raise (Machine)",3,30.0,10.0,0,0.0,,,
2023-12-25 10:14:26,"Push Day",1h 11m,"Seated Calf Raise (Machine)",4,30.0,10.0,0,0.0,,,
2023-12-25 10:14:26,"Push Day",1h 11m,"Seated Calf Raise (Machine)",5,30.0,10.0,0,0.0,,,
2023-12-25 10:14:26,"Push Day",1h 11m,"Lateral Raise (Dumbbell)",1,10.0,12.0,0,0.0,"",,
2023-12-25 10:14:26,"Push Day",1h 11m,"Lateral Raise (Dumbbell)",2,10.0,12.0,0,0.0,,,
2023-12-25 10:14:26,"Push Day",1h 11m,"Lateral Raise (Dumbbell)",3,10.0,12.0,0,0.0,,,
2023-12-25 10:14:26,"Push Day",1h 11m,"Lateral Raise (Dumbbell)",4,10.0,12.0,0,0.0,,,
2023-12-25 10:14:26,"Push Day",1h 11m,"Decline Bench Press (Barbell)",1,30.0,10.0,0,0.0,"",,
2023-12-25 10:14:26,"Push Day",1h 11m,"Incline Bench Press (Barbell)",1,55.0,8.0,0,0.0,"",,
2023-12-25 10:14:26,"Push Day",1h 11m,"Incline Bench Press (Barbell)",2,55.0,6.0,0,0.0,,,
2023-12-28 17:12:32,"Push Day",27m,"Bench Press (Smith Machine)",1,90.0,5.0,0,0.0,"","",
2023-12-28 17:12:32,"Push Day",27m,"Bench Press (Smith Machine)",2,90.0,4.0,0,0.0,,,
2023-12-28 17:12:32,"Push Day",27m,"Bench Press (Smith Machine)",3,70.0,5.0,0,0.0,,,
2023-12-28 17:12:32,"Push Day",27m,"Triceps Extension",1,50.0,8.0,0,0.0,"",,
